Date,open,high,low,close,volume
6/24/2020,9624.33,9670,9208,9296.49,61571.56146
6/25/2020,9298.33,9340,9009.69,9249.49,55831.61916
6/26/2020,9249.49,9298,9045.45,9162.21,50292.29828
6/27/2020,9162.21,9196.24,8833,9012,46290.93011
6/28/2020,9012,9191,8948.06,9116.35,30688.17642
6/29/2020,9116.16,9238,9024.67,9192.56,42120.29326
6/30/2020,9192.93,9205,9064.89,9138.55,31463.1628
7/1/2020,9138.08,9292,9080.1,9232,38488.5287
7/2/2020,9231.99,9261.96,8940,9086.54,45725.16808
7/3/2020,9086.54,9125,9037.47,9058.26,28943.42018
7/4/2020,9057.79,9190,9040.04,9135.46,26441.96848
7/5/2020,9135,9145.24,8893.03,9069.41,34073.65363
7/6/2020,9069.41,9375,9055.92,9344.2,54463.13228
7/7/2020,9342.47,9379.42,9203,9257.39,34587.33668
7/8/2020,9257.4,9470,9231,9436.06,56140.51778
7/9/2020,9436.06,9440.79,9160,9232.43,48044.45065
7/10/2020,9232.42,9317.48,9125,9288.34,38295.49401
7/11/2020,9288.34,9299.28,9178.25,9234.03,22561.366
7/12/2020,9234.02,9345,9157.5,9302.75,30872.70229
7/13/2020,9303.31,9343.82,9200.89,9242.62,42740.06912
7/14/2020,9242.61,9279.54,9113,9255.85,45772.55251
7/15/2020,9255.85,9276.49,9160.57,9197.6,39053.57967
7/16/2020,9197.6,9226.15,9047.25,9133.72,43375.57119
7/17/2020,9133.72,9186.83,9089.81,9154.32,28054.35874
7/18/2020,9154.31,9219.3,9121.1,9170.28,22554.54146
7/19/2020,9170.3,9232.27,9101.35,9208.99,26052.01942
7/20/2020,9208.99,9221.52,9131,9160.78,35458.76408
7/21/2020,9160.78,9437.73,9152.8,9390,60413.58249
7/22/2020,9390,9544,9261,9518.16,48815.00411
7/23/2020,9518.16,9664,9440.33,9603.27,51856.2335
7/24/2020,9603.27,9637,9463.44,9537.8,43931.13621
7/25/2020,9538.1,9732.9,9513,9700.42,40679.54542
7/26/2020,9700.42,10111,9650,9931.54,65279.26932
7/27/2020,9931.54,11394.86,9917.21,11029.96,150188.9331
7/28/2020,11029.96,11242.23,10565,10906.27,97267.73419
7/29/2020,10906.27,11342.82,10812,11100.53,76838.09423
7/30/2020,11100.52,11170,10831,11099.61,60794.82646
7/31/2020,11099.79,11444,10960,11335.46,70063.66097
8/1/2020,11335.46,11861,11220,11801.17,85087.48513
8/2/2020,11801.17,12123.46,10518.5,11071.35,97553.0776
8/3/2020,11071.36,11473,10936,11219.81,56931.84148
8/4/2020,11219.68,11414.98,11000,11191.97,58629.11371
8/5/2020,11191.99,11780.93,11093,11744.91,74970.25685
8/6/2020,11744.91,11900,11562.5,11762.46,63529.08502
8/7/2020,11762.47,11909.94,11322,11594.23,65755.92602
8/8/2020,11594.36,11808.27,11512,11761.41,41858.16104
8/9/2020,11761.02,11797.11,11521.97,11681.68,41493.06734
8/10/2020,11681.69,12067.35,11450,11892.92,84952.33789
8/11/2020,11892.9,11935,11125,11392.08,90748.28463
8/12/2020,11392.09,11617.52,11150,11564.33,64909.61364
8/13/2020,11564.34,11792.96,11270.36,11780,70132.4915
8/14/2020,11779.77,11850,11634.03,11760.54,59818.8527
8/15/2020,11760.55,11980,11680,11852.4,56237.90505
8/16/2020,11852.4,11931.72,11686,11911,41368.23691
8/17/2020,11910.99,12468,11769.78,12281.13,84734.21154
8/18/2020,12281.15,12387.77,11817.93,11945.01,75923.83553
8/19/2020,11945.1,12020.08,11561,11754.59,73940.16961
8/20/2020,11754.38,11888,11668,11853.55,46085.25435
8/21/2020,11853.54,11878,11485.81,11531.34,64448.30614
8/22/2020,11531.23,11686,11376.81,11662.96,43678.70165
8/23/2020,11663.51,11718.07,11514.13,11648.13,37900.00469
8/24/2020,11648.12,11824.9,11585.09,11748.2,46212.39187
8/25/2020,11748.19,11767.85,11117.64,11318.42,69590.92327
8/26/2020,11318.42,11539.32,11244,11461.43,53998.23123
8/27/2020,11461.42,11592.2,11125,11330.38,63246.03638
8/28/2020,11330.38,11542.65,11276.89,11526.91,45953.90837
8/29/2020,11526.9,11580.02,11417.04,11465.84,32973.7992
8/30/2020,11465.84,11719,11458,11711.16,43177.87905
8/31/2020,11711.17,11800.77,11570,11649.51,55353.61774
9/1/2020,11649.51,12050.85,11515,11921.97,78148.19367
9/2/2020,11921.97,11954.57,11160.1,11388.54,87221.8456
9/3/2020,11388.54,11462.6,9960.8,10140.85,121950.106
9/4/2020,10138.29,10627.05,9875.5,10446.25,92733.59911
9/5/2020,10446.25,10565.68,9825,10166.69,90001.60557
9/6/2020,10166.69,10347.14,9994.86,10256.2,56368.78882
9/7/2020,10255.89,10410.75,9875,10373.44,62620.23068
9/8/2020,10373.45,10438,9850,10126.65,73491.87842
9/9/2020,10126.66,10343,9981.01,10219.2,49347.11378
9/10/2020,10219.29,10483.35,10070.83,10336.87,58253.75375
9/11/2020,10336.86,10397.6,10200,10387.89,43830.25447
9/12/2020,10387.89,10477.97,10269.25,10440.92,35379.1531
9/13/2020,10440.67,10580.11,10200,10332.83,43837.60987
9/14/2020,10332.84,10750,10212.34,10671.77,67059.29136
9/15/2020,10671.77,10930.04,10606.48,10785.31,61822.45279
9/16/2020,10785.23,11093,10661.22,10954.01,64991.51244
9/17/2020,10954.01,11045.46,10745.83,10939.99,55601.61453
9/18/2020,10940,11038.03,10812.84,10933.39,47266.72828
9/19/2020,10933.4,11179.79,10887.37,11080.65,38440.03686
9/20/2020,11080.64,11080.64,10723,10920.28,39157.92257
9/21/2020,10920.28,10988.86,10296.35,10417.22,70683.43118
9/22/2020,10417.22,10572.71,10353,10529.61,43991.23548
9/23/2020,10529.61,10537.15,10136.82,10241.46,51876.56808
9/24/2020,10241.46,10795.24,10190.93,10736.32,57676.61943
9/25/2020,10736.33,10760.53,10556.24,10686.67,48101.11701
9/26/2020,10686.57,10820.94,10644.68,10728.6,28420.83666
9/27/2020,10728.59,10799,10594.82,10774.25,30549.48325
9/28/2020,10774.26,10950,10626,10696.12,50095.25173
9/29/2020,10696.11,10867.54,10635.87,10840.48,41874.8984
9/30/2020,10840.58,10849.34,10665.13,10776.59,39596.02732
10/1/2020,10776.59,10920,10437,10619.13,60866.33289
10/2/2020,10619.13,10664.64,10374,10570.4,50130.39371
10/3/2020,10570.4,10603.56,10496.46,10542.06,22298.22134
10/4/2020,10542.07,10696.87,10517.87,10666.63,23212.0016
10/5/2020,10666.62,10798,10615.64,10792.21,34025.76165
10/6/2020,10792.2,10800,10525,10599.66,48674.74047
10/7/2020,10599.65,10681.87,10546.17,10666.39,32811.99028
10/8/2020,10666.4,10950,10530.41,10925.57,51959.69157
10/9/2020,10925.44,11104.64,10829,11050.64,48240.07324
10/10/2020,11050.64,11491,11050.51,11293.22,43648.03694
10/11/2020,11293.22,11445,11221,11369.02,29043.85134
10/12/2020,11369.02,11720.01,11172,11528.25,52825.28371
10/13/2020,11528.24,11557,11300,11420.56,42205.28371
10/14/2020,11420.57,11547.98,11280,11417.89,41415.10602
10/15/2020,11417.89,11617.34,11250.83,11505.12,48760.71768
10/16/2020,11505.13,11541.15,11200,11319.32,48797.7495
10/17/2020,11319.24,11402.42,11255,11360.2,22368.91524
